Serial Number,Title,Director,Cast,id,genres,imdb_id,overview,poster_path,runtime,vote_average,vote_count,combined_features,poster_url
0,kaun pravin tambe?,Jayprad Desai,Shreyas Talpade,946652,Drama,tt18568902,Mumbai-born leg-spinner Pravin Tambe made his debut in professional cricket at the age of 41 in the IPL for Rajasthan Royals in 2013 not having played any international or even first-class cricket before that. The story traces the extraordinary journey of Tambe as he became the oldest debutant - at an age when most cricketers have retired or are on the verge of retirement - a modern-day fable of an underdog who fought against his destiny.,/w6t4nzjbmlGDAYnNvUeo6zxMySC.jpg,2 hrs 13 min,7.3,10,kaun pravin tambe? Drama Mumbai-born leg-spinner Pravin Tambe made his debut in professional cricket at the age of 41 in the IPL for Rajasthan Royals in 2013 not having played any international or even first-class cricket before that. The story traces the extraordinary journey of Tambe as he became the oldest debutant - at an age when most cricketers have retired or are on the verge of retirement - a modern-day fable of an underdog who fought against his destiny. Jayprad Desai,https://image.tmdb.org/t/p/w500/w6t4nzjbmlGDAYnNvUeo6zxMySC.jpg
1,cobalt blue,Sachin Kundalkar,"Prateik Babbar,Neelay Mehendale,Anjali Sivaraman,Neil Bhoopalam,Poornima Indrajith",897097,"Romance,Drama",tt15314640,"When an aspiring author and his free-spirited sister both fall for the enigmatic paying guest at their home, ensuing events rock their traditional family.",/59CjIDHHvNyiinRwaSIouWnPNrY.jpg,1 hrs 52 min,6.4,18,"cobalt blue Romance,Drama When an aspiring author and his free-spirited sister both fall for the enigmatic paying guest at their home, ensuing events rock their traditional family. Sachin Kundalkar",https://image.tmdb.org/t/p/w500/59CjIDHHvNyiinRwaSIouWnPNrY.jpg
2,dasvi,Tushar Jalota,"Abhishek Bachchan,Yami Gautam,Nimrat Kaur",799713,"Drama,Comedy",tt14107554,"Jailed under a tough cop, an uneducated politician decides to spend his time studying for high school while his scheming wife has plans of her own.",/zL40soH0AYoBD5BVNu9U2B98ejD.jpg,2 hrs 7 min,5.4,18,"dasvi Drama,Comedy Jailed under a tough cop, an uneducated politician decides to spend his time studying for high school while his scheming wife has plans of her own. Tushar Jalota",https://image.tmdb.org/t/p/w500/zL40soH0AYoBD5BVNu9U2B98ejD.jpg
3,hurdang,Nikhil Nagesh Bhat,"Sunny Kaushal,Nushrratt Bharuccha,Vijay Varma",809309,"Drama,Romance",tt10919304,"In the 1990s' Allahabad, a brash college student gets drawn into an uproar surrounding a critical bill that will affect India's education system.",/vcsr4oajxfEMYpjxfgrVfJCbczk.jpg,2 hrs 2 min,5,2,"hurdang Drama,Romance In the 1990s' Allahabad, a brash college student gets drawn into an uproar surrounding a critical bill that will affect India's education system. Nikhil Nagesh Bhat",https://image.tmdb.org/t/p/w500/vcsr4oajxfEMYpjxfgrVfJCbczk.jpg
4,jersey,Gowtam Tinnanuri,"Shahid Kapoor,Mrunal Thakur,Pankaj Kapur",679018,Drama,tt5301942,"An ex-cricketer struggling to make ends meet, wants to fulfill his child's wish of getting an Indian jersey but in the process comes face to face with his heroic past and is forced to decide if he will rise to the occasion and become a symbol of hope or continue to live a life as a loser?",/ur2D5MXrwBBymQ7DjG0cOFen2yh.jpg,2 hrs 55 min,7,31,"jersey Drama An ex-cricketer struggling to make ends meet, wants to fulfill his child's wish of getting an Indian jersey but in the process comes face to face with his heroic past and is forced to decide if he will rise to the occasion and become a symbol of hope or continue to live a life as a loser? Gowtam Tinnanuri",https://image.tmdb.org/t/p/w500/ur2D5MXrwBBymQ7DjG0cOFen2yh.jpg
5,operation romeo,Shashant Shah,"Sidhant Gupta,Vedika Pinto,Sharad Kelkar,Bhumika Chawla,Kishor Kadam",957136,"Drama,Thriller",tt18923048,Aditya Sharma and Neha Kasliwal are in a relationship which finds itself challenged one night when they’re out on a date and get harassed in the dead of the night by two men posing as policemen. Will the night change the course of their relationship?,/qTyR9BDP4OCRMYUhHBYszRpFXE1.jpg,2 hrs 15 min,6.2,5,"operation romeo Drama,Thriller Aditya Sharma and Neha Kasliwal are in a relationship which finds itself challenged one night when they’re out on a date and get harassed in the dead of the night by two men posing as policemen. Will the night change the course of their relationship? Shashant Shah",https://image.tmdb.org/t/p/w500/qTyR9BDP4OCRMYUhHBYszRpFXE1.jpg
6,runway 34,Ajay Devgn,"Amitabh Bachchan,Ajay Devgn,Rakul Preet,Boman Irani",766116,"Thriller,Drama",tt11460992,"A flying prodigy, Captain Vikrant Khanna's flight takes a stirring and mysterious trajectory after take-off from an international destination. Concurrently, it follows the tenacious Narayan Vedant in his pursuit to uncover the truth.",/8RlQEuxeRqHh7sWTRswdUC9kP3H.jpg,2 hrs 21 min,6.5,33,"runway 34 Thriller,Drama A flying prodigy, Captain Vikrant Khanna's flight takes a stirring and mysterious trajectory after take-off from an international destination. Concurrently, it follows the tenacious Narayan Vedant in his pursuit to uncover the truth. Ajay Devgn",https://image.tmdb.org/t/p/w500/8RlQEuxeRqHh7sWTRswdUC9kP3H.jpg
7,heropanti 2,Ahmed Khan,"Tiger Shroff,Nawazuddin Siddiqui,Tara Sutaria",678835,"Action,Drama,Romance",tt11873440,"Babloo is a computer genius and Inaaya is a self-made billionaire. The two fall in love but due to unforeseen circumstances they suddenly part ways as the cybercrime lord, Laila wants him dead.",/cfKTqIwMRYblzesiidC91E1g5Cf.jpg,2 hrs 22 min,4.8,12,"heropanti 2 Action,Drama,Romance Babloo is a computer genius and Inaaya is a self-made billionaire. The two fall in love but due to unforeseen circumstances they suddenly part ways as the cybercrime lord, Laila wants him dead. Ahmed Khan",https://image.tmdb.org/t/p/w500/cfKTqIwMRYblzesiidC91E1g5Cf.jpg
8,mere desh ki dharti,Faraz Haider,"Anupriya Goenka,Anant Vidhaat,Brijendra Kala",913532,"Comedy,Drama",tt12484724,Encompasses the journey of two engineering friends who go on a new adventure in the farming industry.,/53VStqbu6cS6HlfswFsSe4WMOm1.jpg,2 hrs 22 min,7.2,3,"mere desh ki dharti Comedy,Drama Encompasses the journey of two engineering friends who go on a new adventure in the farming industry. Faraz Haider",https://image.tmdb.org/t/p/w500/53VStqbu6cS6HlfswFsSe4WMOm1.jpg
9,thar,Raj Singh Chaudhary,"Anil Kapoor,Harshvardhan Kapoor,Fatima Sana",941596,"Western,Action,Thriller,Drama,Crime",tt14479746,A mysterious stranger arrives in a village situated in the Thar desert and crosses paths with a veteran cop investigating a case of brutal killings.,/2PK1WRr8dOF7FG5G4VCal4GcnPT.jpg,1 hrs 48 min,6.4,22,"thar Western,Action,Thriller,Drama,Crime A mysterious stranger arrives in a village situated in the Thar desert and crosses paths with a veteran cop investigating a case of brutal killings. Raj Singh Chaudhary",https://image.tmdb.org/t/p/w500/2PK1WRr8dOF7FG5G4VCal4GcnPT.jpg
